Dia,Susceptibles,Infectados,Recuperados,Muertos,Nuevos infectados,Infectados acumulados,R0 estimado
0,999000,1000,0,0,0,1000,0
1,997432,2515,45,8,1568,2568,1.568
2,995489,4359,129,23,1943,4511,0.7725646123260438
3,993364,6377,218,41,2125,6636,0.48749713236980957
4,991205,8411,320,64,2159,8795,0.33856045162302023
5,989059,10440,414,87,2146,10941,0.2551420758530496
6,987041,12337,516,106,2018,12959,0.19329501915708813
7,985153,14108,613,126,1888,14847,0.15303558401556294
8,983367,15799,690,144,1786,16633,0.1265948398072016
9,981779,17283,778,160,1588,18221,0.1005126906766251
10,980343,18638,845,174,1436,19657,0.08308742695133947
11,979000,19891,918,191,1343,21000,0.07205708767035089
12,977656,21164,975,205,1344,22344,0.0675682469458549
13,976379,22360,1046,215,1277,23621,0.06033831033831034
14,975194,23462,1115,229,1185,24806,0.052996422182468694
15,974065,24525,1168,242,1129,25935,0.04812036484528173
16,973027,25478,1238,257,1038,26973,0.04232415902140673
17,972068,26382,1283,267,959,27932,0.03764031713635293
18,971227,27166,1327,280,841,28773,0.03187779546660602
19,970515,27828,1370,287,712,29485,0.02620923212839579
20,969870,28437,1401,292,645,30130,0.023178094006037084
21,969276,28992,1434,298,594,30724,0.020888279354362275
22,968773,29468,1458,301,503,31227,0.017349613686534215
23,968325,29890,1481,304,448,31675,0.015202931994027419
24,967930,30267,1495,308,395,32070,0.013215122114419539
25,967549,30620,1520,311,381,32451,0.012587967092873426
26,967210,30928,1543,319,339,32790,0.011071195297191378
27,966931,31185,1562,322,279,33069,0.009020951888256596
28,966671,31431,1573,325,260,33329,0.008337341670675003
29,966459,31629,1586,326,212,33541,0.006744933346059623
30,966264,31815,1594,327,195,33736,0.006165228113440197
31,966099,31967,1605,329,165,33901,0.005186232909005186
32,965949,32108,1612,331,150,34051,0.004692338974567523
33,965804,32251,1614,331,145,34196,0.0045160084714089945
34,965686,32362,1620,332,118,34314,0.003658801277479768
35,965577,32465,1625,333,109,34423,0.0033681478276991533
36,965480,32557,1629,334,97,34520,0.0029878330509779762
37,965380,32652,1634,334,100,34620,0.0030715360751912032
38,965294,32730,1641,335,86,34706,0.0026338355996569887
39,965212,32806,1645,337,82,34788,0.0025053467766575008
40,965130,32881,1650,339,82,34870,0.0024995427665670915
41,965063,32945,1651,341,67,34937,0.0020376509230254553
42,965012,32990,1655,343,51,34988,0.0015480346031264227
43,964961,33037,1659,343,51,35039,0.0015459230069718097
44,964908,33085,1664,343,53,35092,0.0016042618881859734
45,964867,33121,1669,343,41,35133,0.0012392322804896478
46,964829,33156,1672,343,38,35171,0.0011473083542163582
47,964792,33193,1672,343,37,35208,0.0011159367836892267
48,964750,33234,1673,343,42,35250,0.0012653270267827554
49,964718,33265,1674,343,32,35282,0.0009628693506649816
50,964690,33290,1677,343,28,35310,0.0008417255373515708
51,964671,33308,1678,343,19,35329,0.0005707419645539201
52,964658,33319,1680,343,13,35342,0.00039029662543533085
53,964642,33335,1680,343,16,35358,0.0004802064887901798
54,964624,33351,1681,344,18,35376,0.0005399730013499326
55,964610,33365,1681,344,14,35390,0.0004197775179155048
56,964599,33374,1683,344,11,35401,0.0003296867975423348
57,964592,33381,1683,344,7,35408,0.00020974411218313658
58,964588,33384,1684,344,4,35412,0.00011982864503759623
59,964583,33389,1684,344,5,35417,0.00014977234603402828
60,964578,33394,1684,344,5,35422,0.0001497499176375453
61,964574,33398,1684,344,4,35426,0.00011978199676588608
62,964570,33402,1684,344,4,35430,0.00011976765075753039
63,964567,33405,1684,344,3,35433,8.981498113885396e-05
64,964563,33409,1684,344,4,35437,0.0001197425535099536
65,964559,33413,1684,344,4,35441,0.0001197282169475291
66,964554,33418,1684,344,5,35446,0.0001496423547720947
67,964552,33419,1685,344,2,35448,5.984798611526722e-05
68,964550,33421,1685,344,2,35450,5.984619527813519e-05
69,964547,33424,1685,344,3,35453,8.976392088806439e-05
70,964543,33427,1685,345,4,35457,0.00011967448539971278
71,964540,33430,1685,345,3,35460,8.974780865767195e-05
72,964539,33431,1685,345,1,35461,2.991325157044571e-05
73,964538,33432,1685,345,1,35462,2.9912356794591845e-05
74,964537,33433,1685,345,1,35463,2.9911462072266092e-05
75,964535,33435,1685,345,2,35465,5.982113480692729e-05
76,964531,33439,1685,345,4,35469,0.0001196351129056378
77,964526,33444,1685,345,5,35474,0.00014952600257184725
78,964520,33450,1685,345,6,35480,0.0001794043774668102
79,964517,33453,1685,345,3,35483,8.968609865470852e-05
80,964511,33459,1685,345,6,35489,0.0001793561115595014
81,964507,33463,1685,345,4,35493,0.00011954929914223377
82,964501,33468,1685,346,6,35499,0.00017930251322356036
83,964497,33471,1685,347,4,35503,0.00011951715071112705
84,964494,33474,1685,347,3,35506,8.962982880702697e-05
85,964489,33479,1685,347,5,35511,0.00014936966003465375
86,964480,33487,1686,347,9,35520,0.000268825233728606
87,964474,33492,1687,347,6,35526,0.00017917400782393168
88,964471,33494,1688,347,3,35529,8.957362952346828e-05
89,964468,33497,1688,347,3,35532,8.956828088612886e-05
90,964465,33500,1688,347,3,35535,8.956025912768307e-05
91,964463,33502,1688,347,2,35537,5.9701492537313435e-05
92,964463,33502,1688,347,0,35537,0.0
93,964463,33502,1688,347,0,35537,0.0
94,964463,33502,1688,347,0,35537,0.0
95,964463,33502,1688,347,0,35537,0.0
96,964463,33502,1688,347,0,35537,0.0
97,964463,33502,1688,347,0,35537,0.0
98,964463,33502,1688,347,0,35537,0.0
99,964463,33502,1688,347,0,35537,0.0
100,964463,33502,1688,347,0,35537,0.0
101,964463,33502,1688,347,0,35537,0.0
102,964463,33502,1688,347,0,35537,0.0
103,964463,33502,1688,347,0,35537,0.0
104,964463,33502,1688,347,0,35537,0.0
105,964463,33502,1688,347,0,35537,0.0
106,964463,33502,1688,347,0,35537,0.0
107,964463,33502,1688,347,0,35537,0.0
108,964463,33502,1688,347,0,35537,0.0
109,964463,33502,1688,347,0,35537,0.0
110,964463,33502,1688,347,0,35537,0.0
111,964463,33502,1688,347,0,35537,0.0
112,964463,33502,1688,347,0,35537,0.0
113,964463,33502,1688,347,0,35537,0.0
114,964463,33502,1688,347,0,35537,0.0
115,964463,33502,1688,347,0,35537,0.0
116,964463,33502,1688,347,0,35537,0.0
117,964463,33502,1688,347,0,35537,0.0
118,964463,33502,1688,347,0,35537,0.0
119,964463,33502,1688,347,0,35537,0.0
120,964463,33502,1688,347,0,35537,0.0
121,964463,33502,1688,347,0,35537,0.0
122,964463,33502,1688,347,0,35537,0.0
123,964463,33502,1688,347,0,35537,0.0
124,964463,33502,1688,347,0,35537,0.0
125,964463,33502,1688,347,0,35537,0.0
126,964463,33502,1688,347,0,35537,0.0
127,964463,33502,1688,347,0,35537,0.0
128,964463,33502,1688,347,0,35537,0.0
129,964463,33502,1688,347,0,35537,0.0
130,964463,33502,1688,347,0,35537,0.0
131,964463,33502,1688,347,0,35537,0.0
132,964463,33502,1688,347,0,35537,0.0
133,964463,33502,1688,347,0,35537,0.0
134,964463,33502,1688,347,0,35537,0.0
135,964463,33502,1688,347,0,35537,0.0
136,964463,33502,1688,347,0,35537,0.0
137,964463,33502,1688,347,0,35537,0.0
138,964463,33502,1688,347,0,35537,0.0
139,964463,33502,1688,347,0,35537,0.0
140,964463,33502,1688,347,0,35537,0.0
141,964463,33502,1688,347,0,35537,0.0
142,964463,33502,1688,347,0,35537,0.0
143,964463,33502,1688,347,0,35537,0.0
144,964463,33502,1688,347,0,35537,0.0
145,964463,33502,1688,347,0,35537,0.0
146,964463,33502,1688,347,0,35537,0.0
147,964463,33502,1688,347,0,35537,0.0
148,964463,33502,1688,347,0,35537,0.0
149,964463,33502,1688,347,0,35537,0.0
150,964463,33502,1688,347,0,35537,0.0
151,964463,33502,1688,347,0,35537,0.0
152,964463,33502,1688,347,0,35537,0.0
153,964463,33502,1688,347,0,35537,0.0
154,964463,33502,1688,347,0,35537,0.0
155,964463,33502,1688,347,0,35537,0.0
156,964463,33502,1688,347,0,35537,0.0
157,964463,33502,1688,347,0,35537,0.0
158,964463,33502,1688,347,0,35537,0.0
159,964463,33502,1688,347,0,35537,0.0
160,964463,33502,1688,347,0,35537,0.0
161,964463,33502,1688,347,0,35537,0.0
162,964463,33502,1688,347,0,35537,0.0
163,964463,33502,1688,347,0,35537,0.0
164,964463,33502,1688,347,0,35537,0.0
165,964463,33502,1688,347,0,35537,0.0
166,964463,33502,1688,347,0,35537,0.0
167,964463,33502,1688,347,0,35537,0.0
168,964463,33502,1688,347,0,35537,0.0
169,964463,33502,1688,347,0,35537,0.0
170,964463,33502,1688,347,0,35537,0.0
171,964463,33502,1688,347,0,35537,0.0
172,964463,33502,1688,347,0,35537,0.0
173,964463,33502,1688,347,0,35537,0.0
174,964463,33502,1688,347,0,35537,0.0
175,964463,33502,1688,347,0,35537,0.0
176,964463,33502,1688,347,0,35537,0.0
177,964463,33502,1688,347,0,35537,0.0
178,964463,33502,1688,347,0,35537,0.0
179,964463,33502,1688,347,0,35537,0.0
180,964463,33502,1688,347,0,35537,0.0
181,964463,33502,1688,347,0,35537,0.0
182,964463,33502,1688,347,0,35537,0.0
183,964463,33502,1688,347,0,35537,0.0
184,964463,33502,1688,347,0,35537,0.0
185,964463,33502,1688,347,0,35537,0.0
186,964463,33502,1688,347,0,35537,0.0
187,964463,33502,1688,347,0,35537,0.0
188,964463,33502,1688,347,0,35537,0.0
189,964463,33502,1688,347,0,35537,0.0
190,964463,33502,1688,347,0,35537,0.0
191,964463,33502,1688,347,0,35537,0.0
192,964463,33502,1688,347,0,35537,0.0
193,964463,33502,1688,347,0,35537,0.0
194,964463,33502,1688,347,0,35537,0.0
195,964463,33502,1688,347,0,35537,0.0
196,964463,33502,1688,347,0,35537,0.0
197,964463,33502,1688,347,0,35537,0.0
198,964463,33502,1688,347,0,35537,0.0
199,964463,33502,1688,347,0,35537,0.0
200,964463,33502,1688,347,0,35537,0.0
201,964463,33502,1688,347,0,35537,0.0
202,964463,33502,1688,347,0,35537,0.0
203,964463,33502,1688,347,0,35537,0.0
204,964463,33502,1688,347,0,35537,0.0
205,964463,33502,1688,347,0,35537,0.0
206,964463,33502,1688,347,0,35537,0.0
207,964463,33502,1688,347,0,35537,0.0
208,964463,33502,1688,347,0,35537,0.0
209,964463,33502,1688,347,0,35537,0.0
210,964463,33502,1688,347,0,35537,0.0
211,964463,33502,1688,347,0,35537,0.0
212,964463,33502,1688,347,0,35537,0.0
213,964463,33502,1688,347,0,35537,0.0
214,964463,33502,1688,347,0,35537,0.0
215,964463,33502,1688,347,0,35537,0.0
216,964463,33502,1688,347,0,35537,0.0
217,964463,33502,1688,347,0,35537,0.0
218,964463,33502,1688,347,0,35537,0.0
219,964463,33502,1688,347,0,35537,0.0
220,964463,33502,1688,347,0,35537,0.0
221,964463,33502,1688,347,0,35537,0.0
222,964463,33502,1688,347,0,35537,0.0
223,964463,33502,1688,347,0,35537,0.0
224,964463,33502,1688,347,0,35537,0.0
225,964463,33502,1688,347,0,35537,0.0
226,964463,33502,1688,347,0,35537,0.0
227,964463,33502,1688,347,0,35537,0.0
228,964463,33502,1688,347,0,35537,0.0
229,964463,33502,1688,347,0,35537,0.0
230,964463,33502,1688,347,0,35537,0.0
231,964463,33502,1688,347,0,35537,0.0
232,964463,33502,1688,347,0,35537,0.0
233,964463,33502,1688,347,0,35537,0.0
234,964463,33502,1688,347,0,35537,0.0
