Dia,Susceptibles,Infectados,Recuperados,Muertos
0,999000,1000,0,0
1,997432,2515,45,8
2,995489,4359,129,23
3,993364,6377,218,41
4,991205,8411,320,64
5,989059,10440,414,87
6,987041,12337,516,106
7,985153,14108,613,126
8,983367,15799,690,144
9,981779,17283,778,160
10,980343,18638,845,174
11,979000,19891,918,191
12,977656,21164,975,205
13,976379,22360,1046,215
14,975194,23462,1115,229
15,974065,24525,1168,242
16,973027,25478,1238,257
17,972068,26382,1283,267
18,971227,27166,1327,280
19,970515,27828,1370,287
20,969870,28437,1401,292
21,969276,28992,1434,298
22,968773,29468,1458,301
23,968325,29890,1481,304
24,967930,30267,1495,308
25,967549,30620,1520,311
26,967210,30928,1543,319
27,966931,31185,1562,322
28,966671,31431,1573,325
29,966459,31629,1586,326
30,966264,31815,1594,327
31,966099,31967,1605,329
32,965949,32108,1612,331
33,965804,32251,1614,331
34,965686,32362,1620,332
35,965577,32465,1625,333
36,965480,32557,1629,334
37,965380,32652,1634,334
38,965294,32730,1641,335
39,965212,32806,1645,337
40,965130,32881,1650,339
41,965063,32945,1651,341
42,965012,32990,1655,343
43,964961,33037,1659,343
44,964908,33085,1664,343
45,964867,33121,1669,343
46,964829,33156,1672,343
47,964792,33193,1672,343
48,964750,33234,1673,343
49,964718,33265,1674,343
50,964690,33290,1677,343
51,964671,33308,1678,343
52,964658,33319,1680,343
53,964642,33335,1680,343
54,964624,33351,1681,344
55,964610,33365,1681,344
56,964599,33374,1683,344
57,964592,33381,1683,344
58,964588,33384,1684,344
59,964583,33389,1684,344
60,964578,33394,1684,344
61,964574,33398,1684,344
62,964570,33402,1684,344
63,964567,33405,1684,344
64,964563,33409,1684,344
65,964559,33413,1684,344
66,964554,33418,1684,344
67,964552,33419,1685,344
68,964550,33421,1685,344
69,964547,33424,1685,344
70,964543,33427,1685,345
71,964540,33430,1685,345
72,964539,33431,1685,345
73,964538,33432,1685,345
74,964537,33433,1685,345
75,964535,33435,1685,345
76,964531,33439,1685,345
77,964526,33444,1685,345
78,964520,33450,1685,345
79,964517,33453,1685,345
80,964511,33459,1685,345
81,964507,33463,1685,345
82,964501,33468,1685,346
83,964497,33471,1685,347
84,964494,33474,1685,347
85,964489,33479,1685,347
86,964480,33487,1686,347
87,964474,33492,1687,347
88,964471,33494,1688,347
89,964468,33497,1688,347
90,964465,33500,1688,347
91,964463,33502,1688,347
92,964463,33502,1688,347
93,964463,33502,1688,347
94,964463,33502,1688,347
95,964463,33502,1688,347
96,964463,33502,1688,347
97,964463,33502,1688,347
98,964463,33502,1688,347
99,964463,33502,1688,347
100,964463,33502,1688,347
101,964463,33502,1688,347
102,964463,33502,1688,347
103,964463,33502,1688,347
104,964463,33502,1688,347
105,964463,33502,1688,347
106,964463,33502,1688,347
107,964463,33502,1688,347
108,964463,33502,1688,347
109,964463,33502,1688,347
110,964463,33502,1688,347
111,964463,33502,1688,347
112,964463,33502,1688,347
113,964463,33502,1688,347
114,964463,33502,1688,347
115,964463,33502,1688,347
116,964463,33502,1688,347
117,964463,33502,1688,347
118,964463,33502,1688,347
119,964463,33502,1688,347
120,964463,33502,1688,347
121,964463,33502,1688,347
122,964463,33502,1688,347
123,964463,33502,1688,347
124,964463,33502,1688,347
125,964463,33502,1688,347
126,964463,33502,1688,347
127,964463,33502,1688,347
128,964463,33502,1688,347
129,964463,33502,1688,347
130,964463,33502,1688,347
131,964463,33502,1688,347
132,964463,33502,1688,347
133,964463,33502,1688,347
134,964463,33502,1688,347
135,964463,33502,1688,347
136,964463,33502,1688,347
137,964463,33502,1688,347
138,964463,33502,1688,347
139,964463,33502,1688,347
140,964463,33502,1688,347
141,964463,33502,1688,347
142,964463,33502,1688,347
143,964463,33502,1688,347
144,964463,33502,1688,347
145,964463,33502,1688,347
146,964463,33502,1688,347
147,964463,33502,1688,347
148,964463,33502,1688,347
149,964463,33502,1688,347
150,964463,33502,1688,347
151,964463,33502,1688,347
152,964463,33502,1688,347
153,964463,33502,1688,347
154,964463,33502,1688,347
155,964463,33502,1688,347
156,964463,33502,1688,347
157,964463,33502,1688,347
158,964463,33502,1688,347
159,964463,33502,1688,347
160,964463,33502,1688,347
161,964463,33502,1688,347
162,964463,33502,1688,347
163,964463,33502,1688,347
164,964463,33502,1688,347
165,964463,33502,1688,347
166,964463,33502,1688,347
167,964463,33502,1688,347
168,964463,33502,1688,347
169,964463,33502,1688,347
170,964463,33502,1688,347
171,964463,33502,1688,347
172,964463,33502,1688,347
173,964463,33502,1688,347
174,964463,33502,1688,347
175,964463,33502,1688,347
176,964463,33502,1688,347
177,964463,33502,1688,347
178,964463,33502,1688,347
179,964463,33502,1688,347
180,964463,33502,1688,347
181,964463,33502,1688,347
182,964463,33502,1688,347
183,964463,33502,1688,347
184,964463,33502,1688,347
185,964463,33502,1688,347
186,964463,33502,1688,347
187,964463,33502,1688,347
188,964463,33502,1688,347
189,964463,33502,1688,347
190,964463,33502,1688,347
191,964463,33502,1688,347
192,964463,33502,1688,347
193,964463,33502,1688,347
194,964463,33502,1688,347
195,964463,33502,1688,347
196,964463,33502,1688,347
197,964463,33502,1688,347
198,964463,33502,1688,347
199,964463,33502,1688,347
200,964463,33502,1688,347
201,964463,33502,1688,347
202,964463,33502,1688,347
203,964463,33502,1688,347
204,964463,33502,1688,347
205,964463,33502,1688,347
206,964463,33502,1688,347
207,964463,33502,1688,347
208,964463,33502,1688,347
209,964463,33502,1688,347
210,964463,33502,1688,347
211,964463,33502,1688,347
212,964463,33502,1688,347
213,964463,33502,1688,347
214,964463,33502,1688,347
215,964463,33502,1688,347
216,964463,33502,1688,347
217,964463,33502,1688,347
218,964463,33502,1688,347
219,964463,33502,1688,347
220,964463,33502,1688,347
221,964463,33502,1688,347
222,964463,33502,1688,347
223,964463,33502,1688,347
224,964463,33502,1688,347
225,964463,33502,1688,347
226,964463,33502,1688,347
227,964463,33502,1688,347
228,964463,33502,1688,347
