Dia,Susceptibles,Infectados,Recuperados,Muertos
0,999000,1000,0,0
1,997376,2566,45,13
2,994365,5424,167,44
3,989397,10063,439,101
4,982315,16545,935,205
5,972958,24915,1755,372
6,961478,34911,2986,625
7,947305,47000,4740,955
8,930850,60681,7056,1413
9,912135,75877,9988,2000
10,891274,92177,13762,2787
11,868327,109738,18262,3673
12,843324,128263,23660,4753
13,816691,147276,30020,6013
14,788461,166794,37303,7442
15,758688,186769,45444,9099
16,727804,206594,54664,10938
17,696390,225855,64754,13001
18,664073,244591,76152,15184
19,631045,262931,88396,17628
20,597588,280846,101337,20229
21,564229,297426,115275,23070
22,531133,312878,130012,25977
23,498065,327317,145502,29116
24,466005,339803,161931,32261
25,434828,351158,178350,35664
26,404287,360762,195664,39287
27,374721,368886,213501,42892
28,346222,375473,231671,46634
29,319067,380100,250449,50384
30,293120,383529,269177,54174
31,268239,385658,288163,57940
32,244720,386192,307362,61726
33,222225,385774,326473,65528
34,201308,383580,345761,69351
35,181825,380175,364782,73218
36,163816,375604,383629,76951
37,147023,370061,402257,80659
38,131592,363368,420674,84366
39,117331,355790,438762,88117
40,104159,347749,456371,91721
41,91940,339220,473579,95261
42,80911,330180,490249,98660
43,70864,320522,506645,101969
44,61908,310313,522482,105297
45,53922,299852,537853,108373
46,46701,289381,552537,111381
47,40167,278483,566958,114392
48,34511,267596,580553,117340
49,29467,256943,593598,119992
50,25054,245974,606430,122542
51,21186,235425,618378,125011
52,17785,224726,630109,127380
53,14876,214147,641313,129664
54,12479,203768,651888,131865
55,10464,193686,661978,133872
56,8666,183932,671607,135795
57,7171,174243,680816,137770
58,5904,165099,689429,139568
59,4809,156397,697556,141238
60,3927,147866,705395,142812
61,3184,139815,712662,144339
62,2583,131996,719713,145708
63,2128,124620,726231,147021
64,1777,117607,732375,148241
65,1454,110899,738228,149419
66,1178,104719,743607,150496
67,964,98784,748710,151542
68,768,93091,753591,152550
69,567,87676,758284,153473
70,405,82611,762607,154377
71,275,77820,766685,155220
72,186,73179,770568,156067
73,114,68876,774222,156788
74,54,64887,777585,157474
75,22,61123,780758,158097
76,8,57532,783748,158712
77,2,54107,786624,159267
78,2,50923,789255,159820
79,2,47991,791688,160319
80,2,45205,794040,160753
81,2,42564,796261,161173
82,2,39962,798443,161593
83,2,37560,800463,161975
84,2,35387,802233,162378
85,2,33205,804032,162761
86,2,31136,805772,163090
87,2,29288,807289,163421
88,2,27540,808753,163705
89,2,25920,810076,164002
90,2,24365,811379,164254
91,2,22888,812614,164496
92,2,21480,813789,164729
93,2,20182,814865,164951
94,2,19006,815855,165137
95,2,17842,816802,165354
96,2,16814,817668,165516
97,2,15814,818501,165683
98,2,14897,819279,165822
99,2,13994,820026,165978
100,2,13158,820722,166118
101,2,12395,821346,166257
102,2,11642,821977,166379
103,2,10903,822598,166497
104,2,10235,823165,166598
105,2,9625,823679,166694
106,2,9087,824116,166795
107,2,8574,824540,166884
108,2,8067,824973,166958
109,2,7610,825349,167039
110,2,7142,825735,167121
111,2,6712,826098,167188
112,2,6321,826425,167252
113,2,5956,826715,167327
114,2,5543,827074,167381
115,2,5231,827335,167432
116,2,4938,827571,167489
117,2,4621,827847,167530
118,2,4338,828071,167589
119,2,4105,828259,167634
120,2,3828,828486,167684
121,2,3611,828673,167714
122,2,3390,828865,167743
123,2,3192,829035,167771
124,2,3009,829191,167798
125,2,2826,829342,167830
126,2,2672,829472,167854
127,2,2508,829610,167880
128,2,2349,829742,167907
129,2,2209,829859,167930
130,2,2053,829992,167953
131,2,1916,830107,167975
132,2,1811,830192,167995
133,2,1705,830279,168014
134,2,1613,830361,168024
135,2,1517,830434,168047
136,2,1421,830514,168063
137,2,1320,830595,168083
138,2,1239,830658,168101
139,2,1172,830719,168107
140,2,1113,830763,168122
141,2,1049,830819,168130
142,2,987,830869,168142
143,2,927,830926,168145
144,2,871,830973,168154
145,2,803,831032,168163
146,2,750,831077,168171
147,2,710,831105,168183
148,2,666,831147,168185
149,2,628,831178,168192
150,2,593,831208,168197
151,2,556,831239,168203
152,2,523,831266,168209
153,2,489,831293,168216
154,2,454,831320,168224
155,2,427,831341,168230
156,2,406,831358,168234
157,2,382,831374,168242
158,2,358,831393,168247
159,2,341,831405,168252
160,2,325,831418,168255
161,2,307,831433,168258
162,2,292,831445,168261
163,2,268,831461,168269
164,2,252,831472,168274
165,2,242,831481,168275
166,2,232,831486,168280
167,2,215,831500,168283
168,2,211,831504,168283
169,2,196,831517,168285
170,2,186,831523,168289
171,2,175,831531,168292
172,2,164,831540,168294
173,2,152,831550,168296
174,2,142,831556,168300
175,2,134,831562,168302
176,2,125,831570,168303
177,2,113,831580,168305
178,2,107,831585,168306
179,2,98,831593,168307
180,2,95,831596,168307
181,2,88,831602,168308
182,2,83,831606,168309
183,2,75,831613,168310
184,2,73,831615,168310
185,2,68,831619,168311
186,2,62,831623,168313
187,2,60,831625,168313
188,2,54,831630,168314
189,2,51,831633,168314
190,2,48,831636,168314
191,2,47,831637,168314
192,2,47,831637,168314
193,2,47,831637,168314
194,2,45,831638,168315
195,2,42,831640,168316
196,2,39,831643,168316
197,2,39,831643,168316
198,2,37,831645,168316
199,2,36,831646,168316
200,2,36,831646,168316
201,2,33,831648,168317
202,2,28,831652,168318
203,2,26,831654,168318
204,2,24,831656,168318
205,2,24,831656,168318
206,2,23,831657,168318
207,2,22,831657,168319
208,2,22,831657,168319
209,2,19,831659,168320
210,2,19,831659,168320
211,2,18,831660,168320
212,2,18,831660,168320
213,2,18,831660,168320
214,2,18,831660,168320
215,2,15,831663,168320
216,2,13,831664,168321
217,2,12,831665,168321
218,2,10,831667,168321
219,2,8,831669,168321
220,2,8,831669,168321
221,2,8,831669,168321
222,2,7,831670,168321
223,2,5,831671,168322
224,2,4,831672,168322
225,2,4,831672,168322
226,2,4,831672,168322
227,2,4,831672,168322
228,2,4,831672,168322
229,2,4,831672,168322
230,2,3,831673,168322
231,2,3,831673,168322
232,2,2,831674,168322
233,2,2,831674,168322
234,2,2,831674,168322
235,2,2,831674,168322
236,2,2,831674,168322
237,2,2,831674,168322
238,2,2,831674,168322
239,2,2,831674,168322
240,2,2,831674,168322
241,2,2,831674,168322
242,2,2,831674,168322
243,2,1,831675,168322
244,2,1,831675,168322
245,2,1,831675,168322
246,2,1,831675,168322
247,2,1,831675,168322
248,2,1,831675,168322
249,2,1,831675,168322
250,2,1,831675,168322
251,2,1,831675,168322
252,2,1,831675,168322
253,2,1,831675,168322
254,2,1,831675,168322
255,2,1,831675,168322
256,2,1,831675,168322
257,2,1,831675,168322
258,2,1,831675,168322
259,2,1,831675,168322
260,2,1,831675,168322
261,2,1,831675,168322
262,2,1,831675,168322
263,2,1,831675,168322
264,2,1,831675,168322
265,2,1,831675,168322
266,2,1,831675,168322
267,2,1,831675,168322
268,2,1,831675,168322
269,2,1,831675,168322
270,2,1,831675,168322
271,2,1,831675,168322
272,2,1,831675,168322
273,2,0,831675,168323
274,2,0,831675,168323
275,2,0,831675,168323
276,2,0,831675,168323
277,2,0,831675,168323
278,2,0,831675,168323
279,2,0,831675,168323
280,2,0,831675,168323
281,2,0,831675,168323
282,2,0,831675,168323
283,2,0,831675,168323
284,2,0,831675,168323
285,2,0,831675,168323
286,2,0,831675,168323
287,2,0,831675,168323
288,2,0,831675,168323
289,2,0,831675,168323
290,2,0,831675,168323
291,2,0,831675,168323
292,2,0,831675,168323
293,2,0,831675,168323
294,2,0,831675,168323
295,2,0,831675,168323
296,2,0,831675,168323
297,2,0,831675,168323
298,2,0,831675,168323
299,2,0,831675,168323
300,2,0,831675,168323
301,2,0,831675,168323
302,2,0,831675,168323
303,2,0,831675,168323
304,2,0,831675,168323
305,2,0,831675,168323
306,2,0,831675,168323
307,2,0,831675,168323
308,2,0,831675,168323
309,2,0,831675,168323
310,2,0,831675,168323
311,2,0,831675,168323
312,2,0,831675,168323
313,2,0,831675,168323
314,2,0,831675,168323
315,2,0,831675,168323
316,2,0,831675,168323
317,2,0,831675,168323
318,2,0,831675,168323
319,2,0,831675,168323
320,2,0,831675,168323
321,2,0,831675,168323
322,2,0,831675,168323
323,2,0,831675,168323
324,2,0,831675,168323
325,2,0,831675,168323
326,2,0,831675,168323
327,2,0,831675,168323
328,2,0,831675,168323
329,2,0,831675,168323
330,2,0,831675,168323
331,2,0,831675,168323
332,2,0,831675,168323
333,2,0,831675,168323
334,2,0,831675,168323
335,2,0,831675,168323
336,2,0,831675,168323
337,2,0,831675,168323
338,2,0,831675,168323
339,2,0,831675,168323
340,2,0,831675,168323
341,2,0,831675,168323
342,2,0,831675,168323
343,2,0,831675,168323
344,2,0,831675,168323
345,2,0,831675,168323
346,2,0,831675,168323
347,2,0,831675,168323
348,2,0,831675,168323
349,2,0,831675,168323
350,2,0,831675,168323
351,2,0,831675,168323
352,2,0,831675,168323
353,2,0,831675,168323
354,2,0,831675,168323
355,2,0,831675,168323
356,2,0,831675,168323
357,2,0,831675,168323
358,2,0,831675,168323
359,2,0,831675,168323
360,2,0,831675,168323
361,2,0,831675,168323
362,2,0,831675,168323
363,2,0,831675,168323
364,2,0,831675,168323
365,2,0,831675,168323
